"","source","target","cluster","pct","srcpop","tarpop"
"9325","Clay County, Minnesota","Cass County, North Dakota",1,0.25275004661096,58999,149778
"10206","Benton County, Minnesota","Stearns County, Minnesota",1,0.21999427843229,38451,150642
"3402","Carver County, Minnesota","Hennepin County, Minnesota",1,0.219590958019376,91042,1152425
"7182","Dodge County, Minnesota","Olmsted County, Minnesota",1,0.21710559068054,20087,144248
"2901","Wright County, Minnesota","Hennepin County, Minnesota",1,0.199005613472334,124700,1152425
"6804","Houston County, Minnesota","La Crosse County, Wisconsin",1,0.195774425815946,19027,114638
"3151","Scott County, Minnesota","Hennepin County, Minnesota",1,0.185902961640293,129928,1152425
"4152","Anoka County, Minnesota","Hennepin County, Minnesota",1,0.180946307020832,330844,1152425
"5545","Nicollet County, Minnesota","Blue Earth County, Minnesota",1,0.168515293182999,32727,64013
"3655","Washington County, Minnesota","Ramsey County, Minnesota",1,0.162365203077233,238136,508640
"12223","Red Lake County, Minnesota","Pennington County, Minnesota",1,0.158473954512106,4089,13930
"3527","Dakota County, Minnesota","Hennepin County, Minnesota",1,0.152991328609567,398552,1152425
"8947","Wilkin County, Minnesota","Richland County, North Dakota",1,0.151611922141119,6576,16321
"6931","Wabasha County, Minnesota","Olmsted County, Minnesota",1,0.143292120317402,21676,144248
"7307","Fillmore County, Minnesota","Olmsted County, Minnesota",1,0.133135243937506,20866,144248
"3777","Ramsey County, Minnesota","Hennepin County, Minnesota",1,0.131314878892734,508640,1152425
"3026","Sherburne County, Minnesota","Hennepin County, Minnesota",1,0.125018361789399,88499,1152425
"8064","Carlton County, Minnesota","St. Louis County, Minnesota",1,0.123664726162889,35386,200226
"12601","Polk County, Minnesota","Grand Forks County, North Dakota",1,0.119018987341772,31600,66861
"12474","Marshall County, Minnesota","Pennington County, Minnesota",1,0.114948617438288,9439,13930
"11592","Cass County, Minnesota","Crow Wing County, Minnesota",1,0.105226310078062,28567,62500
"1009","Rock County, Minnesota","Minnehaha County, South Dakota",1,0.0976566532466192,9687,169468
"4156","Anoka County, Minnesota","Ramsey County, Minnesota",1,0.0870954286612422,330844,508640
"3906","Chisago County, Minnesota","Ramsey County, Minnesota",1,0.0859205374208993,53887,508640
"4033","Isanti County, Minnesota","Anoka County, Minnesota",1,0.0851755870530992,37816,330844
"11089","Hubbard County, Minnesota","Beltrami County, Minnesota",1,0.0843939690620717,20428,44442
"3652","Washington County, Minnesota","Hennepin County, Minnesota",1,0.0830533812611281,238136,1152425
"1","Yellow Medicine County, Minnesota","Lyon County, Minnesota",1,0.0829660854569841,10438,25857
"11844","Lake of the Woods County, Minnesota","Roseau County, Minnesota",1,0.0828182941903585,4045,15629
"252","Lincoln County, Minnesota","Lyon County, Minnesota",1,0.0781886024423338,5896,25857
"3153","Scott County, Minnesota","Dakota County, Minnesota",1,0.0755803214087802,129928,398552
"5670","Blue Earth County, Minnesota","Nicollet County, Minnesota",1,0.0739693499757862,64013,32727
"8189","Lake County, Minnesota","St. Louis County, Minnesota",1,0.0712313638873551,10866,200226
"5776","Le Sueur County, Minnesota","Scott County, Minnesota",1,0.0685846298234848,27703,129928
"10585","Pope County, Minnesota","Douglas County, Minnesota",1,0.0682128240109141,10995,36009
"3530","Dakota County, Minnesota","Ramsey County, Minnesota",1,0.0668720769184448,398552,508640
"11340","Clearwater County, Minnesota","Beltrami County, Minnesota",1,0.0663599769982749,8695,44442
"4027","Isanti County, Minnesota","Hennepin County, Minnesota",1,0.0647609477469854,37816,1152425
"10331","Morrison County, Minnesota","Stearns County, Minnesota",1,0.0629254774383999,33198,150642
"10961","Grant County, Minnesota","Douglas County, Minnesota",1,0.0594882020604852,6018,36009
"12096","Kittson County, Minnesota","Pembina County, North Dakota",1,0.0588752196836555,4552,7413
"757","Lac qui Parle County, Minnesota","Chippewa County, Minnesota",1,0.0588235294117647,7259,12441
"4789","Meeker County, Minnesota","McLeod County, Minnesota",1,0.0576394849785408,23300,36651
"5796","Le Sueur County, Minnesota","Blue Earth County, Minnesota",1,0.056997437100675,27703,64013
"9955","Todd County, Minnesota","Stearns County, Minnesota",1,0.0545089375376582,24895,150642
"3902","Chisago County, Minnesota","Hennepin County, Minnesota",1,0.0542988104737692,53887,1152425
