"","source","target","cluster","pct","srcpop","tarpop"
"342","Storey County, Nevada","Washoe County, Nevada",1,0.187531172069825,4010,421407
"419","Douglas County, Nevada","Carson City, Nevada",1,0.0852820392791029,46997,55274
"382","Lyon County, Nevada","Carson City, Nevada",1,0.0673528280107734,51980,55274
"379","Lyon County, Nevada","Washoe County, Nevada",1,0.0632358599461331,51980,421407
"1103","Nye County, Nevada","Clark County, Nevada",1,0.0498793974423156,43946,1951269
"228","Elko County, Nevada","Eureka County, Nevada",1,0.0496538162153304,48818,1987
"115","Lander County, Nevada","Humboldt County, Nevada",1,0.0451948051948052,5775,16528
"453","Carson City, Nevada","Washoe County, Nevada",1,0.0358577269602345,55274,421407
"343","Storey County, Nevada","Lyon County, Nevada",1,0.0319201995012469,4010,51980
"456","Carson City, Nevada","Douglas County, Nevada",1,0.0314614466114267,55274,46997
"345","Storey County, Nevada","Carson City, Nevada",1,0.0266832917705736,4010,55274
"1178","Lincoln County, Nevada","Clark County, Nevada",1,0.0233863423760524,5345,1951269
"116","Lander County, Nevada","Eureka County, Nevada",1,0.0221645021645022,5775,1987
"78","Pershing County, Nevada","Humboldt County, Nevada",1,0.0192507033910854,6753,16528
"416","Douglas County, Nevada","Washoe County, Nevada",1,0.0172989765304168,46997,421407
"421","Douglas County, Nevada","El Dorado County, California",1,0.0148945677383663,46997,181058
"490","Churchill County, Nevada","Washoe County, Nevada",1,0.0139888250190939,24877,421407
"492","Churchill County, Nevada","Lyon County, Nevada",1,0.0125015074164891,24877,51980
"455","Carson City, Nevada","Lyon County, Nevada",1,0.00929912798060571,55274,51980
"117","Lander County, Nevada","Elko County, Nevada",1,0.00865800865800866,5775,48818
"381","Lyon County, Nevada","Douglas County, Nevada",1,0.00777222008464794,51980,46997
"308","Washoe County, Nevada","Carson City, Nevada",1,0.00750343492158412,421407,55274
"383","Lyon County, Nevada","Churchill County, Nevada",1,0.00652173913043478,51980,24877
"1214","Esmeralda County, Nevada","Nye County, Nevada",1,0.00638569604086846,783,43946
"152","Humboldt County, Nevada","Lander County, Nevada",1,0.00477976766698935,16528,5775
"418","Douglas County, Nevada","Lyon County, Nevada",1,0.00321297104070473,46997,51980
"311","Washoe County, Nevada","Nevada County, California",1,0.00228994772274784,421407,98764
"423","Douglas County, Nevada","Mono County, California",1,0.00208523948337128,46997,14202
"424","Douglas County, Nevada","Alpine County, California",1,0.00202140562163542,46997,1175
"1106","Nye County, Nevada","Inyo County, California",1,0.00179766076548491,43946,18546
"156","Humboldt County, Nevada","Washoe County, Nevada",1,0.00163359148112294,16528,421407
"314","Washoe County, Nevada","Placer County, California",1,0.00162550693272774,421407,348432
"306","Washoe County, Nevada","Lyon County, Nevada",1,0.00151872180576023,421407,51980
"224","Elko County, Nevada","Tooele County, Utah",1,0.0015158343234053,48818,58218
"458","Carson City, Nevada","El Dorado County, California",1,0.00142924340557948,55274,181058
"186","Eureka County, Nevada","White Pine County, Nevada",1,0.00100654252642174,1987,10030
"307","Washoe County, Nevada","Douglas County, Nevada",1,0.000999034187851649,421407,46997
"500","Churchill County, Nevada","Mineral County, Nevada",1,0.000803955460867468,24877,4772
"1144","Clark County, Nevada","Los Angeles County, California",1,0.000771805425084906,1951269,9818605
"454","Carson City, Nevada","Storey County, Nevada",1,0.000723667547128849,55274,4010
"226","Elko County, Nevada","Lander County, Nevada",1,0.000594043180793969,48818,5775
"316","Washoe County, Nevada","Lassen County, California",1,0.000574266682803086,421407,34895
"1140","Clark County, Nevada","Nye County, Nevada",1,0.000534011456134444,1951269,43946
"191","Eureka County, Nevada","Elko County, Nevada",1,0.000503271263210871,1987,48818
"154","Humboldt County, Nevada","Elko County, Nevada",1,0.000484027105517909,16528,48818
"385","Lyon County, Nevada","Nevada County, California",1,0.000461716044632551,51980,98764
"309","Washoe County, Nevada","Churchill County, Nevada",1,0.000429513510691564,421407,24877
"1145","Clark County, Nevada","Mohave County, Arizona",1,0.00034490375237858,1951269,200186
"326","Washoe County, Nevada","Clark County, Nevada",1,0.000313236372438047,421407,1951269
"229","Elko County, Nevada","Salt Lake County, Utah",1,0.000307263714203777,48818,1029655
"317","Washoe County, Nevada","Sacramento County, California",1,0.000253911301900538,421407,1418788
"318","Washoe County, Nevada","Santa Clara County, California",1,0.000244419290614537,421407,1781642
"1139","Clark County, Nevada","San Bernardino County, California",1,0.000233181585932027,1951269,2035210
"386","Lyon County, Nevada","Mono County, California",1,0.000230858022316276,51980,14202
"223","Elko County, Nevada","White Pine County, Nevada",1,0.000225326723749437,48818,10030
