"","source","target","cluster","pct","srcpop","tarpop"
"2773","Teller County, Colorado","El Paso County, Colorado",3,0.151648822269807,23350,622263
"1512","Arapahoe County, Colorado","Denver County, Colorado",3,0.151046410595749,572003,600158
"4873","Conejos County, Colorado","Alamosa County, Colorado",3,0.137475775193798,8256,15445
"1346","Douglas County, Colorado","Arapahoe County, Colorado",3,0.133476958646419,285465,572003
"1761","Adams County, Colorado","Denver County, Colorado",3,0.127145875367695,441603,600158
"1092","Clear Creek County, Colorado","Jefferson County, Colorado",3,0.126210387323944,9088,534543
"1013","Jefferson County, Colorado","Denver County, Colorado",3,0.11871823220957,534543,600158
"1597","Broomfield County, Colorado","Boulder County, Colorado",3,0.110307931793376,55889,294567
"1261","Elbert County, Colorado","Douglas County, Colorado",3,0.102919518322793,23086,285465
"925","Park County, Colorado","Jefferson County, Colorado",3,0.0952116500061705,16206,534543
"1263","Elbert County, Colorado","Arapahoe County, Colorado",3,0.0895780992809495,23086,572003
"1345","Douglas County, Colorado","Denver County, Colorado",3,0.0859930289177307,285465,600158
"1933","Lake County, Colorado","Eagle County, Colorado",3,0.0838577291381669,7310,52197
"2436","Moffat County, Colorado","Routt County, Colorado",3,0.0758970641536789,13795,23509
"2184","Garfield County, Colorado","Pitkin County, Colorado",3,0.072390005142847,56389,17148
"1175","Gilpin County, Colorado","Jefferson County, Colorado",3,0.072045579856644,5441,534543
"1429","Denver County, Colorado","Arapahoe County, Colorado",3,0.070749702578321,600158,572003
"1598","Broomfield County, Colorado","Adams County, Colorado",3,0.0702284886113546,55889,441603
"1182","Gilpin County, Colorado","Boulder County, Colorado",3,0.0692887336886602,5441,294567
"4621","Saguache County, Colorado","Rio Grande County, Colorado",3,0.0643418467583497,6108,11982
"1932","Lake County, Colorado","Summit County, Colorado",3,0.0601915184678523,7310,27994
"1595","Broomfield County, Colorado","Denver County, Colorado",3,0.0600118091216518,55889,600158
"1262","Elbert County, Colorado","Denver County, Colorado",3,0.0591700597764879,23086,600158
"4707","Rio Grande County, Colorado","Alamosa County, Colorado",3,0.0525788683024537,11982,15445
"2017","Eagle County, Colorado","Pitkin County, Colorado",3,0.0524359637527061,52197,17148
"930","Park County, Colorado","Denver County, Colorado",3,0.0506602492903863,16206,600158
"4790","Costilla County, Colorado","Alamosa County, Colorado",3,0.0499432463110102,3524,15445
"1756","Adams County, Colorado","Jefferson County, Colorado",3,0.0475087352214546,441603,534543
"1590","Broomfield County, Colorado","Jefferson County, Colorado",3,0.0469323122618047,55889,534543
"3528","Crowley County, Colorado","Otero County, Colorado",3,0.0465395844066632,5823,18831
"757","Weld County, Colorado","Larimer County, Colorado",3,0.0464669237614951,252825,299630
"5209","Ouray County, Colorado","Montrose County, Colorado",3,0.0459873760144274,4436,41276
"1014","Jefferson County, Colorado","Arapahoe County, Colorado",3,0.0454219772777868,534543,572003
"767","Weld County, Colorado","Boulder County, Colorado",3,0.0445367348956788,252825,294567
"5796","Dolores County, Colorado","Montezuma County, Colorado",3,0.0426356589147287,2064,25535
"1424","Denver County, Colorado","Jefferson County, Colorado",3,0.0413191192985847,600158,534543
"1096","Clear Creek County, Colorado","Denver County, Colorado",3,0.0400528169014085,9088,600158
"84","Washington County, Colorado","Yuma County, Colorado",3,0.0382218529289572,4814,10043
"89","Washington County, Colorado","Logan County, Colorado",3,0.033651848774408,4814,22709
"1017","Jefferson County, Colorado","Adams County, Colorado",3,0.0326652860480822,534543,441603
"935","Park County, Colorado","Summit County, Colorado",3,0.0313464149080587,16206,27994
"1511","Arapahoe County, Colorado","Douglas County, Colorado",3,0.0309421454083283,572003,285465
"1762","Adams County, Colorado","Arapahoe County, Colorado",3,0.0306247919511416,441603,572003
"1432","Denver County, Colorado","Adams County, Colorado",3,0.0302470349474638,600158,441603
"1341","Douglas County, Colorado","Jefferson County, Colorado",3,0.0289247368328867,285465,534543
"1515","Arapahoe County, Colorado","Adams County, Colorado",3,0.0282935579009201,572003,441603
"3024","Huerfano County, Colorado","Pueblo County, Colorado",3,0.0281627179257935,6711,159063
"840","Larimer County, Colorado","Weld County, Colorado",3,0.0281013249674599,299630,252825
"5459","Delta County, Colorado","Montrose County, Colorado",3,0.0267187903851124,30952,41276
"5208","Ouray County, Colorado","San Miguel County, Colorado",3,0.0266005410279531,4436,7359
"1764","Adams County, Colorado","Boulder County, Colorado",3,0.0263313428577251,441603,294567
"85","Washington County, Colorado","Morgan County, Colorado",3,0.0245118404653095,4814,28159
"850","Larimer County, Colorado","Boulder County, Colorado",3,0.0242599205687014,299630,294567
"768","Weld County, Colorado","Adams County, Colorado",3,0.0242381093641847,252825,441603
"3190","Custer County, Colorado","Pueblo County, Colorado",3,0.0242068155111633,4255,159063
"1678","Boulder County, Colorado","Denver County, Colorado",3,0.0234649502490096,294567,600158
"2101","Pitkin County, Colorado","Garfield County, Colorado",3,0.022976440401213,17148,56389
"3360","Bent County, Colorado","Prowers County, Colorado",3,0.0226188644406832,6499,12551
"764","Weld County, Colorado","Denver County, Colorado",3,0.0221694848215169,252825,600158
"5789","Dolores County, Colorado","San Miguel County, Colorado",3,0.0213178294573643,2064,7359
"1179","Gilpin County, Colorado","Denver County, Colorado",3,0.0207682411321448,5441,600158
"2183","Garfield County, Colorado","Eagle County, Colorado",3,0.020660057812694,56389,52197
"1507","Arapahoe County, Colorado","Jefferson County, Colorado",3,0.0206554860726255,572003,534543
"931","Park County, Colorado","Arapahoe County, Colorado",3,0.0204245341231643,16206,572003
"253","Sedgwick County, Colorado","Cheyenne County, Nebraska",3,0.0197562000840689,2379,9998
"5714","Montezuma County, Colorado","La Plata County, Colorado",3,0.0189935382807911,25535,51334
"1093","Clear Creek County, Colorado","Gilpin County, Colorado",3,0.0188160211267606,9088,5441
"2940","Pueblo County, Colorado","El Paso County, Colorado",3,0.018741001992921,159063,622263
"2517","Rio Blanco County, Colorado","Garfield County, Colorado",3,0.0186018601860186,6666,56389
"1279","Elbert County, Colorado","El Paso County, Colorado",3,0.0184527419215109,23086,622263
"4624","Saguache County, Colorado","Alamosa County, Colorado",3,0.0183366077275704,6108,15445
"5460","Delta County, Colorado","Gunnison County, Colorado",3,0.0179632980098217,30952,15324
"1680","Boulder County, Colorado","Broomfield County, Colorado",3,0.0172965742937939,294567,55889
"3522","Crowley County, Colorado","Pueblo County, Colorado",3,0.0171732783788425,5823,159063
"5291","Montrose County, Colorado","San Miguel County, Colorado",3,0.0164260102723132,41276,7359
"1673","Boulder County, Colorado","Jefferson County, Colorado",3,0.0164071331819247,294567,534543
"255","Sedgwick County, Colorado","Logan County, Colorado",3,0.0163934426229508,2379,22709
"1016","Jefferson County, Colorado","Boulder County, Colorado",3,0.0157629975511792,534543,294567
"3609","Kiowa County, Colorado","Prowers County, Colorado",3,0.0157367668097282,1398,12551
"421","Phillips County, Colorado","Logan County, Colorado",3,0.0155335434488969,4442,22709
"1258","Elbert County, Colorado","Jefferson County, Colorado",3,0.0152040197522308,23086,534543
"4954","Alamosa County, Colorado","Rio Grande County, Colorado",3,0.0148268047911946,15445,11982
"1763","Adams County, Colorado","Broomfield County, Colorado",3,0.0144994485997604,441603,55889
"3439","Otero County, Colorado","Pueblo County, Colorado",3,0.0142318517338431,18831,159063
"5505","Mesa County, Colorado","Garfield County, Colorado",3,0.0141354797816293,146723,56389
"2264","Grand County, Colorado","Summit County, Colorado",3,0.0139459677962676,14843,27994
"3361","Bent County, Colorado","Otero County, Colorado",3,0.0138482843514387,6499,18831
"3107","Fremont County, Colorado","Pueblo County, Colorado",3,0.0136041346318127,46824,159063
"3192","Custer County, Colorado","Fremont County, Colorado",3,0.0131609870740306,4255,46824
"1428","Denver County, Colorado","Douglas County, Colorado",3,0.0130032424794804,600158,285465
"4625","Saguache County, Colorado","Chaffee County, Colorado",3,0.0129338572364113,6108,17809
"256","Sedgwick County, Colorado","Deuel County, Nebraska",3,0.0126103404791929,2379,1941
"1850","Summit County, Colorado","Eagle County, Colorado",3,0.0126098449667786,27994,52197
"3106","Fremont County, Colorado","El Paso County, Colorado",3,0.0125576627370579,46824,622263
"1012","Jefferson County, Colorado","Douglas County, Colorado",3,0.0123020973055489,534543,285465
"3613","Kiowa County, Colorado","Cheyenne County, Colorado",3,0.0121602288984263,1398,1836
