"","source","target","cluster","pct","srcpop","tarpop"
"7503","DeSoto County, Mississippi","Shelby County, Tennessee",1,0.228908788728202,161252,927644
"2461","Lamar County, Mississippi","Forrest County, Mississippi",1,0.175733946602465,55658,74934
"492","Madison County, Mississippi","Hinds County, Mississippi",1,0.15233763641902,95203,245285
"247","Rankin County, Mississippi","Hinds County, Mississippi",1,0.15220630291561,141617,245285
"7625","Marshall County, Mississippi","Shelby County, Tennessee",1,0.1437648072367,37144,927644
"8241","Itawamba County, Mississippi","Lee County, Mississippi",1,0.13922481945216,23401,82910
"11193","Carroll County, Mississippi","Leflore County, Mississippi",1,0.136453713315089,10597,32317
"2339","Perry County, Mississippi","Forrest County, Mississippi",1,0.128571428571429,12250,74934
"1722","Clarke County, Mississippi","Lauderdale County, Mississippi",1,0.115467367917762,16732,80261
"4675","Jackson County, Mississippi","Harrison County, Mississippi",1,0.0997937967179311,139668,187105
"7874","Pontotoc County, Mississippi","Lee County, Mississippi",1,0.0991087225022532,29957,82910
"2214","Jasper County, Mississippi","Jones County, Mississippi",1,0.0920173484937288,17062,67761
"11439","Claiborne County, Mississippi","Warren County, Mississippi",1,0.0835068721366097,9604,48773
"7996","Monroe County, Mississippi","Lee County, Mississippi",1,0.0834842791100057,36989,82910
"8851","Prentiss County, Mississippi","Lee County, Mississippi",1,0.0814606741573034,25276,82910
"4920","Hancock County, Mississippi","Harrison County, Mississippi",1,0.0791049193016003,43929,187105
"614","Copiah County, Mississippi","Hinds County, Mississippi",1,0.0757580902577337,29449,245285
"7752","Union County, Mississippi","Lee County, Mississippi",1,0.0745927618486032,27134,82910
"3690","Amite County, Mississippi","Pike County, Mississippi",1,0.0736425253217577,13131,40404
"6151","Yalobusha County, Mississippi","Lafayette County, Mississippi",1,0.0689383183467424,12678,47351
"5041","George County, Mississippi","Jackson County, Mississippi",1,0.0682079900788378,22578,139668
"8363","Chickasaw County, Mississippi","Lee County, Mississippi",1,0.0677897884084637,17392,82910
"7259","Tate County, Mississippi","DeSoto County, Mississippi",1,0.0674028941355674,28886,161252
"7136","Benton County, Mississippi","Shelby County, Tennessee",1,0.0670179860235995,8729,927644
"9226","Webster County, Mississippi","Oktibbeha County, Mississippi",1,0.066517116941383,10253,47671
"10825","Montgomery County, Mississippi","Grenada County, Mississippi",1,0.0643478260869565,10925,21906
"1233","Newton County, Mississippi","Lauderdale County, Mississippi",1,0.0632136279926335,21720,80261
"7258","Tate County, Mississippi","Shelby County, Tennessee",1,0.063006300630063,28886,927644
"2583","Forrest County, Mississippi","Lamar County, Mississippi",1,0.0618277417460699,74934,55658
"1477","Kemper County, Mississippi","Lauderdale County, Mississippi",1,0.0612088752869166,10456,80261
"4553","Stone County, Mississippi","Harrison County, Mississippi",1,0.0591476442145508,17786,187105
"7626","Marshall County, Mississippi","DeSoto County, Mississippi",1,0.0541137195778591,37144,161252
"3445","Walthall County, Mississippi","Pike County, Mississippi",1,0.0523214401346889,15443,40404
"369","Hinds County, Mississippi","Rankin County, Mississippi",1,0.0495668304217543,245285,141617
"124","Simpson County, Mississippi","Rankin County, Mississippi",1,0.0493764316620005,27503,141617
"125","Simpson County, Mississippi","Hinds County, Mississippi",1,0.0489401156237501,27503,245285
"4059","Lawrence County, Mississippi","Lincoln County, Mississippi",1,0.0460205739036275,12929,34869
"1101","Scott County, Mississippi","Rankin County, Mississippi",1,0.045676478913105,28264,141617
"2706","Covington County, Mississippi","Forrest County, Mississippi",1,0.0451246933769419,19568,74934
"10332","Issaquena County, Mississippi","Sharkey County, Mississippi",1,0.042674253200569,1406,4916
"370","Hinds County, Mississippi","Madison County, Mississippi",1,0.0424730415638951,245285,95203
"248","Rankin County, Mississippi","Madison County, Mississippi",1,0.0399881370174485,141617,95203
"6642","Quitman County, Mississippi","Tunica County, Mississippi",1,0.0396448984555515,8223,10778
"9471","Choctaw County, Mississippi","Oktibbeha County, Mississippi",1,0.0395460395460396,8547,47671
"9595","Noxubee County, Mississippi","Lowndes County, Mississippi",1,0.0382849718492854,11545,59779
"9840","Clay County, Mississippi","Lowndes County, Mississippi",1,0.0375109043326548,20634,59779
"9470","Choctaw County, Mississippi","Webster County, Mississippi",1,0.0374400374400374,8547,10253
"7017","Tippah County, Mississippi","Union County, Mississippi",1,0.0373785534364879,22232,27134
"491","Madison County, Mississippi","Rankin County, Mississippi",1,0.0371311828408769,95203,141617
"7750","Union County, Mississippi","Pontotoc County, Mississippi",1,0.0361170487211616,27134,29957
"1847","Wayne County, Mississippi","Jones County, Mississippi",1,0.0353786089555116,20747,67761
"11562","Jefferson County, Mississippi","Claiborne County, Mississippi",1,0.0353352316852187,7726,9604
"3","Yazoo County, Mississippi","Hinds County, Mississippi",1,0.0340281489399608,28065,245285
"10331","Issaquena County, Mississippi","Washington County, Mississippi",1,0.0334281650071124,1406,51137
"5535","Pearl River County, Mississippi","St. Tammany Parish, Louisiana",1,0.0331339327291614,55834,233740
"8611","Tishomingo County, Mississippi","Alcorn County, Mississippi",1,0.033124074924718,19593,37057
"4","Yazoo County, Mississippi","Madison County, Mississippi",1,0.0331017281311242,28065,95203
"1230","Newton County, Mississippi","Scott County, Mississippi",1,0.031767955801105,21720,28264
"1476","Kemper County, Mississippi","Neshoba County, Mississippi",1,0.0307000765110941,10456,29676
"11192","Carroll County, Mississippi","Grenada County, Mississippi",1,0.0291591959988676,10597,21906
"6641","Quitman County, Mississippi","Panola County, Mississippi",1,0.0289432080749118,8223,34707
"1969","Smith County, Mississippi","Jones County, Mississippi",1,0.0283791158813899,16491,67761
"6643","Quitman County, Mississippi","Coahoma County, Mississippi",1,0.0282135473671409,8223,26151
"7134","Benton County, Mississippi","Tippah County, Mississippi",1,0.0278382403482644,8729,22232
"1970","Smith County, Mississippi","Jasper County, Mississippi",1,0.0276514462434055,16491,17062
"2095","Jones County, Mississippi","Forrest County, Mississippi",1,0.0273313557946311,67761,74934
"8470","Calhoun County, Mississippi","Lafayette County, Mississippi",1,0.0261328699371742,14962,47351
"6921","Tallahatchie County, Mississippi","Grenada County, Mississippi",1,0.0260111848094681,15378,21906
"9837","Clay County, Mississippi","Oktibbeha County, Mississippi",1,0.0257826887661142,20634,47671
"2702","Covington County, Mississippi","Jones County, Mississippi",1,0.0256030253475061,19568,67761
"6396","Panola County, Mississippi","Lafayette County, Mississippi",1,0.0254991788400035,34707,47351
"9040","Winston County, Mississippi","Neshoba County, Mississippi",1,0.0254193145119283,19198,29676
"10826","Montgomery County, Mississippi","Leflore County, Mississippi",1,0.0253546910755149,10925,32317
"5531","Pearl River County, Mississippi","Hancock County, Mississippi",1,0.0253250707454239,55834,43929
