"","source","target","cluster","pct","srcpop","tarpop"
"2110","Putnam County, West Virginia","Kanawha County, West Virginia",1,0.180532026096673,55486,193063
"3774","Wirt County, West Virginia","Wood County, West Virginia",1,0.147454958894525,5717,86956
"1555","Wayne County, West Virginia","Cabell County, West Virginia",1,0.134224712224289,42481,96319
"6549","Doddridge County, West Virginia","Harrison County, West Virginia",1,0.117654230675445,8202,69099
"8548","Mineral County, West Virginia","Allegany County, Maryland",1,0.116191691478803,28212,75087
"4551","Marshall County, West Virginia","Ohio County, West Virginia",1,0.112332739299846,33107,44443
"6661","Preston County, West Virginia","Monongalia County, West Virginia",1,0.103937947494033,33520,96189
"9213","Grant County, West Virginia","Hardy County, West Virginia",1,0.0965066599648153,11937,14025
"6328","Taylor County, West Virginia","Harrison County, West Virginia",1,0.0896715004439183,16895,69099
"2331","Boone County, West Virginia","Kanawha County, West Virginia",1,0.0853465426935726,24629,193063
"6882","Marion County, West Virginia","Monongalia County, West Virginia",1,0.072671842319827,56418,96189
"2661","Clay County, West Virginia","Kanawha County, West Virginia",1,0.0670147027487748,9386,193063
"3884","Pleasants County, West Virginia","Wood County, West Virginia",1,0.0662721893491124,7605,86956
"4329","Tyler County, West Virginia","Wetzel County, West Virginia",1,0.0647263249348393,9208,16583
"1000","Monroe County, West Virginia","Greenbrier County, West Virginia",1,0.0642127092282625,13502,35480
"2551","Jackson County, West Virginia","Kanawha County, West Virginia",1,0.0640512135839239,29211,193063
"1890","Roane County, West Virginia","Kanawha County, West Virginia",1,0.0594935012729465,14926,193063
"333","Fayette County, West Virginia","Raleigh County, West Virginia",1,0.0592758313603684,46039,78859
"5108","Hancock County, West Virginia","Allegheny County, Pennsylvania",1,0.0590689790063894,30676,1223348
"8326","Hampshire County, West Virginia","Frederick County, Virginia",1,0.056918711400434,23964,78305
"2441","Lincoln County, West Virginia","Kanawha County, West Virginia",1,0.0568600368324125,21720,193063
"5662","Webster County, West Virginia","Nicholas County, West Virginia",1,0.055713349355473,9154,26233
"8325","Hampshire County, West Virginia","Winchester city, Virginia",1,0.0557085628442664,23964,26203
"3994","Ritchie County, West Virginia","Wood County, West Virginia",1,0.0553162982103551,10449,86956
"1001","Monroe County, West Virginia","Giles County, Virginia",1,0.0536957487779588,13502,17286
"9657","Jefferson County, West Virginia","Loudoun County, Virginia",1,0.0534973270028786,53498,312311
"7215","Barbour County, West Virginia","Randolph County, West Virginia",1,0.0529869190427392,16589,29405
"6331","Taylor County, West Virginia","Monongalia County, West Virginia",1,0.0523231725362533,16895,96189
"6994","Tucker County, West Virginia","Randolph County, West Virginia",1,0.0522335807309901,7141,29405
"5218","Brooke County, West Virginia","Allegheny County, Pennsylvania",1,0.050105945406955,24069,1223348
"9765","Berkeley County, West Virginia","Washington County, Maryland",1,0.0460885676160854,104169,147430
"6879","Marion County, West Virginia","Harrison County, West Virginia",1,0.0447020454464887,56418,69099
"5217","Brooke County, West Virginia","Hancock County, West Virginia",1,0.0429182766213802,24069,30676
"3108","Mingo County, West Virginia","Pike County, Kentucky",1,0.042587279704907,26839,65024
"7209","Barbour County, West Virginia","Harrison County, West Virginia",1,0.0414732654168425,16589,69099
"5107","Hancock County, West Virginia","Brooke County, West Virginia",1,0.0408788629547529,30676,24069
